"id_origin","hour","dow","viajes"
"0827902",4,3,2746.182
"0827902",4,4,2672.283
"0827902",4,5,2836.835
"0827902",4,6,2616.903
"0827902",4,7,2740.87
"0827902",5,1,5207.027
"0827902",5,2,5922.442
"0827902",5,3,5985.668
"0827902",5,4,5751.96
"0827902",5,5,6152.196
"0827902",5,6,3917.156
"0827902",5,7,3509.936
"0827902",6,1,9955.331
"0827902",6,2,11853.144
"0827902",6,3,11679.28
"0827902",6,4,10979.004
"0827902",6,5,11585.169
"0827902",6,6,6058.733
"0827902",6,7,5201.648
"0827902",7,1,16132.317
"0827902",7,2,20084.773
"0827902",7,3,19613.734
"0827902",7,4,19132.341
"0827902",7,5,19649.238
"0827902",7,6,7903.276
"0827902",7,7,6401.427
"0827902",8,1,15626.955
"0827902",8,2,18867.013
"0827902",8,3,18233.122
"0827902",8,4,18490.391
"0827902",8,5,17645.643
"0827902",8,6,10419.368
"0827902",8,7,7917.959
"0827902",9,1,14084.468
"0827902",9,2,15268.964
"0827902",9,3,15308.368
"0827902",9,4,15519.056
"0827902",9,5,15872.647
"0827902",9,6,12952.594
"0827902",9,7,10695.166
"0827902",10,1,13748.301
"0827902",10,2,14083.326
"0827902",10,3,13388.728
"0827902",10,4,13683.648
"0827902",10,5,14077.369
"0827902",10,6,15083.96
"0827902",10,7,12466.326
"0827902",11,1,13624.3
"0827902",11,2,14300.463
"0827902",11,3,14023.779
"0827902",11,4,13751.624
"0827902",11,5,14051.659
"0827902",11,6,15659.356
"0827902",11,7,13716.849
"0827902",12,1,14404.724
"0827902",12,2,14578.009
"0827902",12,3,14683.848
"0827902",12,4,14293.586
"0827902",12,5,14758.491
"0827902",12,6,16621.702
"0827902",12,7,14205.016
"0827902",13,1,15861.644
"0827902",13,2,16145.981
"0827902",13,3,15924.763
"0827902",13,4,15555.184
"0827902",13,5,16694.376
"0827902",13,6,17245.523
"0827902",13,7,15363.146
"0827902",14,1,16572.519
"0827902",14,2,17698.875
"0827902",14,3,17123.038
"0827902",14,4,17487.819
"0827902",14,5,18219.264
"0827902",14,6,14933.193
"0827902",14,7,13185.757
"0827902",15,1,15743.578
"0827902",15,2,17054.92
"0827902",15,3,18193.537
"0827902",15,4,16740.686
"0827902",15,5,17219.802
"0827902",15,6,13479.652
"0827902",15,7,11645.462
"0827902",16,1,15333.156
"0827902",16,2,16617.597
"0827902",16,3,17186.071
"0827902",16,4,16556.374
"0827902",16,5,17269.313
"0827902",16,6,14961.669
"0827902",16,7,11828.435
"0827902",17,1,16285.3
"0827902",17,2,16999.825
"0827902",17,3,17409.727
"0827902",17,4,17141.044
"0827902",17,5,16963.414
"0827902",17,6,15438.219
"0827902",17,7,12705.641
"0827902",18,1,16597.778
"0827902",18,2,17600.485
"0827902",18,3,17713.802
"0827902",18,4,18003.995
"0827902",18,5,17105.412
"0827902",18,6,16365.968
"0827902",18,7,13425.19
"0827902",19,1,16818.703
"0827902",19,2,17357.881
"0827902",19,3,18170.209
"0827902",19,4,17216.087
"0827902",19,5,16954.849
"0827902",19,6,15979.159
"0827902",19,7,12241.099
"0827902",20,1,15698.964
"0827902",20,2,16172.222
"0827902",20,3,16392.061
"0827902",20,4,15701.76
"0827902",20,5,16113.723
"0827902",20,6,15464.164
"0827902",20,7,12486.645
"0827902",21,1,13340.503
"0827902",21,2,13037.18
"0827902",21,3,13426.62
"0827902",21,4,13190.322
"0827902",21,5,13901.725
"0827902",21,6,13904.415
"0827902",21,7,12387.304
"0827902",22,1,10943.401
"0827902",22,2,10930.592
"0827902",22,3,10963.058
"0827902",22,4,10590.302
"0827902",22,5,11270.333
"0827902",22,6,11264.72
"0827902",22,7,10550.09
"0827902",23,1,7141.57
"0827902",23,2,7477.288
"0827902",23,3,7873.273
"0827902",23,4,7808.749
"0827902",23,5,8374.376
"0827902",23,6,8527.596
"0827902",23,7,7545.325
"0827903",0,1,10159.646
"0827903",0,2,8274.168
"0827903",0,3,8789.823
"0827903",0,4,8930.926
"0827903",0,5,9375.866
"0827903",0,6,12249.279
"0827903",0,7,14670.483
"0827903",1,1,5596.664
"0827903",1,2,4625.085
"0827903",1,3,4384.813
"0827903",1,4,4270.176
"0827903",1,5,4951.141
"0827903",1,6,8247.154
"0827903",1,7,8927.699
"0827903",2,1,3451.18
"0827903",2,2,3280.154
"0827903",2,3,3697.022
"0827903",2,4,3646.82
"0827903",2,5,3373.121
"0827903",2,6,5524.433
"0827903",2,7,6051.117
"0827903",3,1,3135.185
"0827903",3,2,2777.639
"0827903",3,3,2932.945
"0827903",3,4,2872.508
"0827903",3,5,3086.488
"0827903",3,6,4583.482
"0827903",3,7,5004.355
"0827903",4,1,3881.734
"0827903",4,2,3468.349
"0827903",4,3,3916.943
"0827903",4,4,3646.154
"0827903",4,5,3882.162
"0827903",4,6,4549.755
"0827903",4,7,4352.978
"0827903",5,1,6310.983
"0827903",5,2,7508.20999999999
"0827903",5,3,7539.268
"0827903",5,4,7580.046
"0827903",5,5,7435.125
"0827903",5,6,5962.525
"0827903",5,7,4959.318
"0827903",6,1,12107.951
"0827903",6,2,15121.501
"0827903",6,3,14668.521
"0827903",6,4,14417.928
"0827903",6,5,14095.045
"0827903",6,6,8456.346
"0827903",6,7,7631.881
"0827903",7,1,20218.607
"0827903",7,2,24590.278
"0827903",7,3,24845.418
"0827903",7,4,24450.619
"0827903",7,5,25101.871
"0827903",7,6,10386.123
"0827903",7,7,8632.377
"0827903",8,1,19868.545
"0827903",8,2,24030.362
"0827903",8,3,23974.197
"0827903",8,4,24343.362
"0827903",8,5,23835.411
"0827903",8,6,13103.99
"0827903",8,7,9812.865
"0827903",9,1,18401.582
"0827903",9,2,21578.833
"0827903",9,3,21508.132
"0827903",9,4,20677.154
"0827903",9,5,21491.226
"0827903",9,6,16862.29
"0827903",9,7,12596.803
"0827903",10,1,17949.524
"0827903",10,2,18866.416
"0827903",10,3,18965.478
"0827903",10,4,18505.204
"0827903",10,5,18815.853
"0827903",10,6,19304.894
"0827903",10,7,16227.803
"0827903",11,1,18338.951
"0827903",11,2,19182.389
"0827903",11,3,18780.745
"0827903",11,4,18848.104
"0827903",11,5,19556.54
"0827903",11,6,21912.12
"0827903",11,7,17145.525
"0827903",12,1,19177.657
"0827903",12,2,20477.308
"0827903",12,3,19853.096
"0827903",12,4,20243.55
"0827903",12,5,20872.263
"0827903",12,6,23186.124
"0827903",12,7,18187.684
"0827903",13,1,23982.735
"0827903",13,2,25570.667
"0827903",13,3,25235.888
"0827903",13,4,24637.338
"0827903",13,5,25378.06
"0827903",13,6,24036.936
"0827903",13,7,18672.615
"0827903",14,1,25698.075
"0827903",14,2,28815.726
"0827903",14,3,27913.732
"0827903",14,4,27847.604
"0827903",14,5,30914.447
"0827903",14,6,20655.189
"0827903",14,7,16791.78
"0827903",15,1,23363.805
"0827903",15,2,25676.36
"0827903",15,3,25181.046
"0827903",15,4,25254.683
"0827903",15,5,27293.14
"0827903",15,6,18023.666
"0827903",15,7,15125.331
"0827903",16,1,22197.416
"0827903",16,2,24501.878
"0827903",16,3,24359.344
"0827903",16,4,24461.803
"0827903",16,5,24404.333
"0827903",16,6,18802.145
"0827903",16,7,16691.362
"0827903",17,1,24783.256
"0827903",17,2,26690.429
"0827903",17,3,26940.165
"0827903",17,4,27327.834
"0827903",17,5,24651.749
"0827903",17,6,21970.654
"0827903",17,7,17678.08
"0827903",18,1,26084.922
"0827903",18,2,27375.903
"0827903",18,3,28224.552
"0827903",18,4,27698.561
"0827903",18,5,24785.54
"0827903",18,6,23176.017
"0827903",18,7,18116.643
"0827903",19,1,24004.821
"0827903",19,2,25263.743
"0827903",19,3,26190.552
"0827903",19,4,25363.701
"0827903",19,5,24036.666
"0827903",19,6,23660.932
"0827903",19,7,18665.203
"0827903",20,1,22259.966
"0827903",20,2,23456.365
"0827903",20,3,24191.977
"0827903",20,4,23121.131
"0827903",20,5,23325.347
"0827903",20,6,23096.727
"0827903",20,7,18871.074
"0827903",21,1,20700.437
"0827903",21,2,20616.878
"0827903",21,3,21141.544
"0827903",21,4,20922.898
"0827903",21,5,19914.833
"0827903",21,6,21429.884
"0827903",21,7,17356.622
